nominee_id,nominee_name,year_NP,n nomin,range,NP
4461,Sir Christopher Kelk Ingold,None,112,30,0
10302,Robert Burns Woodward,1965,111,19,1
6650,Walther H Nernst,1920,76,14,1
8746,Hermann Staudinger,1953,74,22,1
7045,Linus C Pauling,1954,65,14,1
7663,Walter Reppe,None,64,17,0
10657,Georg Wittig,None,62,12,0
9458,Georges Urbain,None,56,27,0
10669,Derek Harold Richard Barton,1969,54,9,1
7783,Robert Robinson,1947,51,19,1
4154,Jaroslav Heyrovský,1959,51,25,1
10476,Lars Onsager,1968,45,13,1
13013,Neil Bartlett,None,45,7,0
10651,Giulio Natta,1963,44,8,1
6352,Henri Moissan,1906,41,5,1
5441,Gilbert N Lewis,None,41,24,0
7400,Vladimir Prelog,None,40,12,0
1853,Klaus Clusius,None,39,17,0
10889,Luis Federico Leloir,1970,36,12,1
6968,Friedrich (Fritz) Adolf Paneth,None,35,31,0
5118,Fritz Kögl,None,35,17,0
8998,Gustav Tammann,None,35,26,0
3986,Johan Arvid Hedvall,None,34,21,0
7707,Theodore W Richards,1914,33,12,1
10610,Karl W Ziegler,1963,32,9,1
2432,Otto P Diels,1950,32,18,1
13019,Manfred Eigen,1967,31,7,1
2235,George de Hevesy,1943,31,19,1
2061,Theodor Curtius,None,31,17,0
5302,Henry Le Châtelier,None,31,29,0
7552,Sir William Ramsay,1904,30,2,1
2555,Vincent du Vigneaud,1955,30,11,1
2016,Lyman C Craig,None,30,17,0
10210,Richard M Willstätter,1915,28,7,1
5458,Willard Frank Libby,1960,28,9,1
4719,Paul Karrer,1937,28,5,1
1007,Johannes Martin Bijvoet,None,28,9,0
6085,Hans Lebrecht Meerwein,None,27,17,0
8188,Hermann Irving Schlesinger,None,26,11,0
13045,Saul Winstein,None,25,7,0
2875,Henry Eyring,None,25,26,0
1550,Melvin Calvin,1961,24,11,1
8323,Glenn Theodore Seaborg,1951,24,8,1
10685,Dorothy Crowfoot Hodgkin,1964,24,14,1
3212,Karl Johann Freudenberg,None,24,14,0
9207,Hugo A Theorell,None,24,18,0
953,Gabriel Bertrand,None,24,48,0
6504,Robert Sanderson Mulliken,1966,23,16,1
3787,Otto Hahn,1944,23,30,1
9668,Artturi I Virtanen,1945,23,12,1
3812,Albin Haller,None,23,18,0
7994,Leopold Ruzicka,1939,22,8,1
9289,Sir Alexander Robertus Todd,1957,21,8,1
5722,Feodor Lynen,None,21,6,0
4401,Erich Hückel,None,21,13,0
3254,Alexander Naumovich Frumkin,None,21,23,0
4823,Morris S Kharasch,None,21,9,0
511,Svante A Arrhenius,1903,20,2,1
6913,Wilhelm Ostwald,1909,20,5,1
13016,Carl Djerassi,None,20,8,0
1198,Carl Bosch,1931,19,15,1
6097,Lise Meitner,None,19,24,0
8972,Sören P Sörensen,None,19,14,0
3933,Odd Hassel,1969,18,9,1
14617,Robert Bruce Merrifield,None,18,3,0
5085,Werner Kuhn,None,18,33,0
4977,Gustaf Komppa,None,18,8,0
3737,Philippe-Auguste Guye,None,18,5,0
8092,Frederick Sanger,1958,17,6,1
6764,John H Northrop,1946,17,6,1
10087,Alfred Werner,1913,17,6,1
6657,Carl A Neuberg,None,17,6,0
3851,Louis Plack Hammett,None,17,8,0
3957,Sir Walter Norman Haworth,1937,16,8,1
9751,Hans K von Euler-Chelpin,1929,16,5,1
13934,Marshall Warren Nirenberg,None,16,3,0
3531,Moses Gomberg,None,16,19,0
1802,Giacomo Ciamician,None,16,16,0
9713,Adolf J von Baeyer,1905,15,3,1
3026,Hans Fischer,1930,15,2,1
7146,Max Ferdinand Perutz,1962,15,12,1
7121,William H Perkin Jr,None,15,18,0
7631,Tadeus Reichstein,None,15,7,0
11153,Daniel I Arnon,None,15,9,0
1106,Max Bodenstein,None,15,8,0
8933,Wojciech Swi?tos?awski,None,15,26,0
3072,Paul J Flory,1974,14,20,1
3418,William F Giauque,1949,14,13,1
2325,Petrus J Debye,1936,14,9,1
10671,Martin David Kamen,None,14,15,0
13032,Har Gobind Khorana,None,14,5,0
11155,Gerhard Herzberg,None,14,12,0
8731,Wendell M Stanley,1946,13,8,1
13015,Herbert C Brown,None,13,6,0
8815,Arthur Stoll,None,13,22,0
446,Angelo Angeli,None,13,20,0
13896,John Warcup Cornforth Jr,None,13,5,0
11118,Jannik Bjerrum,None,13,9,0
7958,Otto Ruff,None,13,8,0
13348,Ephraim Katchalski,None,13,6,0
10166,Heinrich O Wieland,1927,12,3,1
4194,Sir Cyril Norman Hinshelwood,1956,12,9,1
8926,Frédéric Swarts,None,12,6,0
13932,Otto Kratky,None,12,4,0
949,Marcellin Berthelot,None,12,6,0
8915,Theodor Svedberg,1926,11,10,1
9563,Jacobus H van´t Hoff,1901,11,0,1
10428,Richard A Zsigmondy,1925,11,12,1
3022,Emil H Fischer,1902,11,1,1
10997,John C Kendrew,1962,11,3,1
7136,Jean B Perrin,None,11,11,0
10086,Chester H Werkman,None,11,4,0
7233,Amé Pictet,None,11,16,0
3520,Victor M Goldschmidt,None,11,11,0
10646,Fritz Feigl,None,11,14,0
10831,Carl Wilhelm Wagner,None,11,13,0
3758,Fritz Haber,1918,10,6,1
5229,Irving Langmuir,1932,10,5,1
2684,Joseph M Eder,None,10,5,0
2049,Burris Bell Cunningham,None,10,20,0
1746,Georges Léon Chaudron,None,10,7,0
11115,Gerhard Schramm,None,10,9,0
4482,Vladimir N Ipatieff,None,10,12,0
5455,Choh Hao Li,None,10,17,0
13988,George Joseph Popjàk,None,10,5,0
305,Roger Adams,None,10,12,0
6339,San-ichiro Mizushima,None,10,8,0
8017,Paul Sabatier,1912,9,5,1
13074,Ernst Otto Fischer,None,9,8,0
10538,Emilio Segrè,None,9,5,0
10665,Max Volmer,None,9,10,0
6171,Dmitri Mendeleev,None,9,2,0
10299,Harland G Wood,None,9,3,0
9338,Jacques Tréfouël,None,9,11,0
6732,Walter Noddack,None,9,5,0
1038,Kristian Birkeland,None,9,6,0
9940,Paul Walden,None,9,40,0
1981,Dirk Coster,None,9,9,0
11125,Harry George Drickamer,None,9,9,0
4021,Walter Heinrich Heitler,None,9,28,0
8895,James B Sumner,1946,8,5,1
11157,Ronald George Wreyford Norrish,1967,8,6,1
5084,Richard Kuhn,1938,8,5,1
5921,Herman Francis Mark,None,8,12,0
2873,Samuel Eyde,None,8,6,0
2577,Charles Dufraisse,None,8,29,0
10983,William G Pfann,None,8,9,0
14176,Robert William Holley,None,8,2,0
10904,Gerold Karl Schwarzenbach,None,8,12,0
8589,John Clarks Slater,None,8,15,0
3649,Victor Grignard,1912,7,5,1
10241,Adolf O Windaus,1928,7,2,1
8398,Nikolay Nikolaevich Semenov,1956,7,10,1
10654,George Porter,1967,7,12,1
359,Kurt Alder,1950,7,14,1
521,Ossian Aschan,None,7,16,0
3904,Carl Harries,None,7,4,0
559,Carl Auer von Welsbach,None,7,7,0
