nominee_id	nominee_name	year_NP	n nomin	range	NP
3531	Moses Gomberg	None	16	19	0
9458	Georges Urbain	None	48	18	0
5441	Gilbert N Lewis	None	33	18	0
8998	Gustav Tammann	None	33	16	0
2235	George de Hevesy	1943	26	16	1
3787	Otto Hahn	1944	14	16	1
6097	Lise Meitner	None	12	15	0
3221	Herbert Freundlich	None	3	15	0
8972	Sören P Sörensen	None	19	14	0
521	Ossian Aschan	None	6	14	0
5302	Henry Le Châtelier	None	20	13	0
7783	Robert Robinson	1947	26	12	1
6968	Friedrich (Fritz) Adolf Paneth	None	4	12	0
3520	Victor M Goldschmidt	None	11	11	0
1611	Nikodem Caro	None	3	11	0
10166	Heinrich O Wieland	1927	12	10	1
2325	Petrus J Debye	1936	14	9	1
953	Gabriel Bertrand	None	10	9	0
446	Angelo Angeli	None	9	9	0
7233	Amé Pictet	None	9	9	0
1981	Dirk Coster	None	9	9	0
7994	Leopold Ruzicka	1939	22	8	1
3957	Sir Walter Norman Haworth	1937	16	8	1
1106	Max Bodenstein	None	15	8	0
7958	Otto Ruff	None	13	8	0
8746	Hermann Staudinger	1953	10	8	1
6477	Charles Moureu	None	2	8	0
8975	Bruno Tacke	None	2	8	0
5084	Richard Kuhn	1938	8	7	1
559	Carl Auer von Welsbach	None	7	7	0
9940	Paul Walden	None	3	7	0
1150	Karl-Friedrich O Bonhoeffer	None	3	7	0
5118	Fritz Kögl	None	18	6	0
6657	Carl A Neuberg	None	17	6	0
8926	Frédéric Swarts	None	12	6	0
9668	Artturi I Virtanen	1945	12	6	1
4154	Jaroslav Heyrovský	1959	10	6	1
2903	Kasimir Fajans	None	6	6	0
4719	Paul Karrer	1937	28	5	1
2432	Otto P Diels	1950	24	5	1
9751	Hans K von Euler-Chelpin	1929	16	5	1
1198	Carl Bosch	1931	13	5	1
5229	Irving Langmuir	1932	10	5	1
10428	Richard A Zsigmondy	1925	9	5	1
6732	Walter Noddack	None	9	5	0
1487	Adolf F Butenandt	1939	6	5	1
8185	Wilhelm Schlenk	None	3	5	0
4487	James C Irvine	None	3	5	0
911	Max Bergmann	None	2	5	0
3812	Albin Haller	None	11	4	0
7136	Jean B Perrin	None	7	4	0
4881	Peter Klason	None	4	4	0
6731	Ida Noddack	None	4	4	0
7121	William H Perkin Jr	None	2	4	0
1048	Niels Bjerrum	None	2	4	0
1419	Johannes N Brönsted	None	2	4	0
2849	Arnold Eucken	None	2	4	0
2061	Theodor Curtius	None	12	3	0
8915	Theodor Svedberg	1926	4	3	1
7603	Albert Recoura	None	3	3	0
3026	Hans Fischer	1930	15	2	1
10241	Adolf O Windaus	1928	7	2	1
287	John J Abel	None	5	2	0
2955	Enrico Fermi	None	3	2	0
8815	Arthur Stoll	None	2	2	0
2508	Frederick G Donnan	None	2	2	0
900	Friedrich Bergius	1931	2	2	1
7380	Frederick B Power	None	2	2	0
9984	Otto H Warburg	None	2	2	0
3737	Philippe-Auguste Guye	None	8	1	0
7399	Fritz Pregl	1923	4	1	1
8731	Wendell M Stanley	1946	3	1	1
9207	Hugo A Theorell	None	3	1	0
7007	Paul V Pascal	None	2	1	0
3418	William F Giauque	1949	2	1	1
10207	Robley Cook Williams	None	2	1	0
8017	Paul Sabatier	1912	2	1	1
3143	Ernest F Fourneau	None	2	1	0
2785	Friedrich Emich	None	2	1	0
8513	Henry Siedentopf	None	2	1	0
8403	Jean B Senderens	None	2	1	0
6650	Walther H Nernst	1920	22	0	1
2684	Joseph M Eder	None	9	0	0
9710	Karl von Auwers	None	4	0	0
3461	Francesco Giordani	None	4	0	0
4613	Frédéric Joliot	1935	3	0	1
1802	Giacomo Ciamician	None	3	0	0
8933	Wojciech Swiętosławski	None	3	0	0
9905	Emil Votocek	None	3	0	0
4615	Irène Joliot-Curie	1935	3	0	1
7045	Linus C Pauling	1954	2	0	1
10323	Dorothy M Wrinch	None	2	0	0
8200	Carl F Schmidt	None	2	0	0
8913	Umetaro Suzuki	None	2	0	0
4254	Fritz Hofmann	None	2	0	0
8800	Alfred Stock	None	1	0	0
3649	Victor Grignard	1912	1	0	1
4461	Sir Christopher Kelk Ingold	None	1	0	0
9461	Harold Clayton Urey	1934	1	0	1
6764	John H Northrop	1946	1	0	1
5085	Werner Kuhn	None	1	0	0
4977	Gustaf Komppa	None	1	0	0
10050	Fritz Weigert	None	1	0	0
694	Philippe Barbier	None	1	0	0
4054	Victor Henri	None	1	0	0
4482	Vladimir N Ipatieff	None	1	0	0
9338	Jacques Tréfouël	None	1	0	0
2777	Conrad A Elvehjem	None	1	0	0
7351	William J Pope	None	1	0	0
8646	Frederick Soddy	1921	1	0	1
3878	Arthur R Hantzsch	None	1	0	0
4121	Jacob Heslinga	None	1	0	0
6219	Henri Meulen	None	1	0	0
2577	Charles Dufraisse	None	1	0	0
3887	Arthur Harden	1929	1	0	1
3082	Fritz Foerster	None	1	0	0
8248	Werner Schulemann	None	1	0	0
1118	Niels Bohr	None	1	0	0
4303	Sir Frederick G Hopkins	None	1	0	0
3895	Charles R Harington	None	1	0	0
4269	Arnold F Holleman	None	1	0	0
3272	Casimir Funk	None	1	0	0
5597	Fritz London	None	1	0	0
3848	Olaf Hammarsten	None	1	0	0
8709	Ernst Späth	None	1	0	0
546	Francis W Aston	1922	1	0	1
641	Herbert B Baker	None	1	0	0
1866	Ernst Cohen	None	1	0	0
1316	Julius Bredt	None	1	0	0
872	Kurt Bennewitz	None	1	0	0
3182	Edward C Franklin	None	1	0	0
4597	Paul Job	None	1	0	0
707	George Barger	None	1	0	0
6573	Jens Möller	None	1	0	0
4122	Alfred Hess	None	1	0	0
1314	Georg Bredig	None	1	0	0
9383	Alexander Tschirch	None	1	0	0
359	Kurt Alder	1950	1	0	1
6821	Giuseppe Oddo	None	1	0	0
769	Frederick C Bawden	None	1	0	0
7273	Norman W Pirie	None	1	0	0
1515	Jacob Böeseken	None	1	0	0
3008	Colin G Fink	None	1	0	0
2054	George O Curme	None	1	0	0
5423	Phoebus A Levene	None	1	0	0
3023	Franz Fischer	None	1	0	0
3914	Paul Harteck	None	1	0	0
10247	Sergei [Sergey] N Winogradsky [Winogradskiy Vinogradskiy Vinogradsky]	None	1	0	0
2780	Gustav G Embden	None	1	0	0
9999	Edward W Washburn	None	1	0	0
7155	Kurt Peters	None	1	0	0
4429	Otto Hönigschmid	None	1	0	0
9541	Johannes J van Laar	None	1	0	0
4420	Erik Hägglund	None	1	0	0
5819	Louis C Maillard	None	1	0	0
1336	Percy W Bridgman	None	1	0	0
3457	Piero Ginori-Conti	None	1	0	0
9266	Marc Tiffeneau	None	1	0	0
1026	Arthur Binz	None	1	0	0
8003	Curt Räth	None	1	0	0
2320	André Debierne	None	1	0	0
7243	Maurice Piettre	None	1	0	0
5495	Samuel C Lind	None	1	0	0
3898	William D Harkins	None	1	0	0
1144	William A Bone	None	1	0	0
