nominee_name	Sum - n_nominations	Count - nominator_name	Min - nominee_NP_C
A J Kluyver	1	1	0
Albert Portevin	5	1	0
Alexander E Arbuzov	2	2	0
Alexander E Braunstein	1	1	0
Alexander Naumovich Frumkin	3	3	0
Alexandre Vladimiravitche Palladine	1	1	0
Alfred D Hershey	1	1	0
Alfred E Mirsky	1	1	0
Alfred Gierer	2	1	0
Andrew A Benson	1	1	0
Archer John Porter Martin	6	4	1
Arne W Tiselius	6	6	1
Arne Westgren	1	1	0
Arnold Orville Beckman	1	1	0
Arthur C Wahl	1	1	0
Arthur H Gordon	2	2	0
Arthur Kornberg	1	1	0
Arthur Stoll	11	7	0
Artturi I Virtanen	9	5	1
Axel E Lindh	2	1	0
Bernard L Horecker	1	1	0
Bogdan Kamienski	1	1	0
Boris A Arbuzov	1	1	0
Bror Holmberg	1	1	0
Burris Bell Cunningham	1	1	0
Carl Wilhelm Wagner	6	4	0
Casimir Funk	1	1	0
Charles D Coryell	1	1	0
Charles Dufraisse	7	2	0
Charles Wagner	1	1	0
Chester H Werkman	11	10	0
Choh Hao Li	10	2	0
Claude S Hudson	2	2	0
Colin Munro MacLeod	1	1	0
Conrad A Elvehjem	1	1	0
David E Green	1	1	0
David Keilin	6	4	0
David Rittenberg	1	1	0
Derek Harold Richard Barton	2	1	1
Domingo Giribaldo	4	4	0
Donald D van Slyke	2	2	0
Dorothy Crowfoot Hodgkin	13	10	1
Edward C Dodds	1	1	0
Edward C Kendall	1	1	0
Edward Joseph Conway	2	1	0
Edward Lawrie Tatum	4	4	0
Edwin J Cohn	1	1	0
Edwin Mattison McMillan	4	4	1
Egon Wiberg	1	1	0
Emilio Segrè	9	5	0
Erich Hückel	1	1	0
Erich Müller	1	1	0
Erik Hägglund	1	1	0
Ernest F Fourneau	1	1	0
Ernest F Gale	1	1	0
Félix Trombe	1	1	0
Feodor Lynen	6	3	0
Francis H Crick	1	1	0
Francis Owen Rice	1	1	0
Frederick D Rossini	1	1	0
Frederick Sanger	17	16	1
Friedrich (Fritz) Adolf Paneth	31	13	0
Friedrich Emil Brauns	1	1	0
Friedrich Hund	1	1	0
Friedrich Richter	1	1	0
Frits Zernike	2	2	0
Fritz Albert Lipmann	3	2	0
Fritz Feigl	2	2	0
Fritz Kögl	11	10	0
Fritz London	2	2	0
G L Stadnikov	1	1	0
Gabriel Bertrand	12	10	0
Georg Wittig	6	4	0
George de Hevesy	5	5	1
George M Dyson	1	1	0
George Porter	2	2	1
George W Heise	1	1	0
George Wells Beadle	5	5	0
Georges Lemaître	1	1	0
Gerhard Dickel	1	1	0
Gerhard Herzberg	4	2	0
Gerhard Schramm	1	1	0
Gerold Karl Schwarzenbach	2	2	0
Gilbert N Lewis	7	4	0
Giulio Natta	27	18	1
Gladwyn A Buttle	1	1	0
Glenn E Sheline	1	1	0
Glenn Theodore Seaborg	24	23	1
Gunter Scheibe	1	1	0
Gustaf Komppa	17	8	0
Hans Adolf Krebs	7	5	0
Hans Lebrecht Meerwein	21	7	0
Hans Vogt	1	1	0
Harland G Wood	9	9	0
Harry Steenbock	1	1	0
Heinz L Fraenckel-Conrat	2	2	0
Henri Devaux	1	1	0
Henry Eyring	7	6	0
Herman Francis Mark	1	1	0
Hermann Irving Schlesinger	25	12	0
Hermann Staudinger	54	27	1
Howard Cary	1	1	0
Hugh S Taylor	1	1	0
Hugo A Theorell	20	13	0
Ilya Prigogine	1	1	0
Isadore Perlman	1	1	0
Izaak M Kolthoff	1	1	0
Jacques Tréfouël	5	3	0
James B Sumner	8	7	1
James D Watson	1	1	0
James Wilfred Cook	4	4	0
Jannik Bjerrum	7	4	0
Jaroslav Heyrovský	36	31	1
Jean Brachet	2	1	0
Joan P Folkes	1	1	0
Johan Arvid Hedvall	32	13	0
Johannes Hans Daniel Jensen	1	1	0
Johannes N Brönsted	2	2	0
John C Kendrew	1	1	1
John Clarks Slater	1	1	0
John G Aston	1	1	0
John H Northrop	16	11	1
John W Hamaker	1	1	0
Josef Engl	1	1	0
Joseph Massolle	1	1	0
Joseph Mattauch	2	1	0
Joseph W Kennedy	1	1	0
Kaj Ulrik Linderstrøm-Lang 	4	4	0
Karl A Folkers	4	4	0
Karl Johann Freudenberg	17	12	0
Karl Miescher	1	1	0
Karl Paul Link	2	2	0
Karl W Ziegler	23	15	1
Karl-Friedrich O Bonhoeffer	1	1	0
Klaus Clusius	38	22	0
Kurt Alder	6	3	1
Lars Onsager	15	11	1
Leo Szilard	1	1	0
Linus C Pauling	62	48	1
Lise Meitner	6	5	0
Louis B Werner	1	1	0
Louis F Fieser	2	2	0
Luis Federico Leloir	2	1	1
Lyman C Craig	27	4	0
M J Chedin	1	1	0
Maclyn McCarty	1	1	0
Manfred Eigen	1	1	1
Marguerite Perey	2	2	0
Maria Goeppert-Mayer	1	1	0
Marietta Blau	1	1	0
Martha C Chase	1	1	0
Martin David Kamen	1	1	0
Martin Deutsch	1	1	0
Maurice Hugh Frederick Wilkins	1	1	0
Maurice-Marie M Janot	1	1	0
Max Ferdinand Perutz	5	3	1
Max Mousseron	1	1	0
Max Volmer	7	3	0
Melvin Calvin	20	15	1
Michael J Heidelberger	3	2	0
Michael Polanyi	2	1	0
Morris S Kharasch	21	13	0
Moses Kunitz	2	2	0
Nikolay Nikolaevich Semenov	7	4	1
Odd Hassel	1	1	1
Öjvind Winge	1	1	0
Oswald Theodore Avery	1	1	0
Otto H Warburg	1	1	0
Otto Hahn	8	3	1
Otto P Diels	7	4	1
Otto Robert Frisch	2	1	0
Paul Charpentier	1	1	0
Paul Harteck	1	1	0
Paul J Flory	4	3	0
Paul L Kirk	1	1	0
Paul Läuger	1	1	0
Paul M Lebeau	1	1	0
Paul Niggli	4	4	0
Paul Rabe	1	1	0
Paul V Pascal	4	3	0
