nominee_name	Sum - n_nominations	Count - nominator_name	Min - nominee_NP_C
A Guinier	1	1	0
A J Kluyver	1	1	0
A Lüttringhaus	1	1	0
A R Tourky	1	1	0
A van Dorp	1	1	0
A.O.C Nier	1	1	0
Adolf F Butenandt	6	5	1
Adolf J von Baeyer	15	15	1
Adolf O Windaus	7	7	1
Adolph Frank	4	4	0
Adolphe Van Tiggelen	1	1	0
Aharon Katzir-Katchalsky	1	1	0
Alan Walsh	6	3	0
Albert Eschenmoser	5	2	0
Albert Kirrmann	1	1	0
Albert Portevin	5	1	0
Albert Recoura	5	1	0
Alberte Pullman	6	4	0
Albin Haller	23	16	0
Albrecht Kossel	1	1	0
Aleksandr Nikolaevich Nesmejanov	3	2	0
Aleksandr Nikolaevich Terenin	1	1	0
Alexander E Arbuzov	7	7	0
Alexander E Braunstein	4	4	0
Alexander Ivanovich Oparin	2	1	0
Alexander Naumovich Frumkin	21	17	0
Alexander P Vinogradov	4	3	0
Alexander Tschirch	3	2	0
Alexandre Vladimiravitche Palladine	1	1	0
Alfred Champagnat	3	3	0
Alfred D Hershey	3	3	0
Alfred E Mirsky	1	1	0
Alfred Gierer	2	1	0
Alfred Hess	1	1	0
Alfred Rieche	6	1	0
Alfred Stock	1	1	0
Alfred Werner	17	16	1
Amé Pictet	11	8	0
André Debierne	1	1	0
Andrew A Benson	1	1	0
Angelo Angeli	13	8	0
Anthony Leonid Turkevich	6	6	0
Archer John Porter Martin	6	4	1
Arie Jan Haagen-Smit 	3	3	0
Armand Gautier	2	2	0
Arne W Tiselius	6	6	1
Arne Westgren	1	1	0
Arnold Eucken	2	2	0
Arnold F Holleman	1	1	0
Arnold Orville Beckman	1	1	0
Arthur Amos Noyes	1	1	0
Arthur Binz	1	1	0
Arthur C Wahl	1	1	0
Arthur H Gordon	2	2	0
Arthur Harden	1	1	1
Arthur Holmes	2	1	0
Arthur Kornberg	1	1	0
Arthur R Hantzsch	2	2	0
Arthur Ramén	1	1	0
Arthur Stoll	13	8	0
Artturi I Virtanen	23	7	1
Axel E Lindh	2	1	0
B E Cross	1	1	0
B Lainé	1	1	0
B M Kozyrev	1	1	0
Bernard L Horecker	2	2	0
Bernard Lewis	1	1	0
Bernard N Halpern	1	1	0
Bernard Pullman	6	4	0
Bernd Theodor Matthias	3	2	0
Bogdan Kamienski	1	1	0
Boris A Arbuzov	1	1	0
Boris Vladimirovich Derjagin	1	1	0
Britton Chance	4	3	0
Bror Holmberg	1	1	0
Bruno Tacke	2	1	0
Burris Bell Cunningham	10	2	0
C L Vernet	1	1	0
C Manneback	1	1	0
C Wagner	4	4	0
Carl A Neuberg	17	12	0
Carl Auer von Welsbach	7	6	0
Carl Bosch	19	19	1
Carl Djerassi	20	13	0
Carl Engler	5	3	0
Carl F Schmidt	2	2	0
Carl Harries	7	5	0
Carl Liebermann	1	1	0
Carl Wilhelm Wagner	11	9	0
Casimir Funk	2	2	0
Charles A Coulson	1	1	0
Charles D Coryell	1	1	0
Charles Dufraisse	8	3	0
Charles G Darwin	1	1	0
Charles Gilbert Overberger 	1	1	0
Charles Moureu	2	2	0
Charles Prévost	4	4	0
Charles R Harington	1	1	0
Charles Wagner	1	1	0
Chester H Werkman	11	10	0
Choh Hao Li	10	2	0
Christian Klixbüll-Jørgensen 	2	2	0
Claude S Hudson	2	2	0
Clemens Schöpf	2	2	0
Colin G Fink	1	1	0
Colin Munro MacLeod	1	1	0
Conrad A Elvehjem	2	2	0
Costin D Nenitzescu	1	1	0
Curt Räth	1	1	0
Daniel I Arnon	15	8	0
David Chilton Phillips	1	1	0
David E Green	1	1	0
David Keilin	6	4	0
David Mervyn Blow	1	1	0
David Nachmansohn	1	1	0
David Rittenberg	1	1	0
Derek Harold Richard Barton	54	38	1
Dionyz Ilkovic	1	1	0
Dirk Coster	9	9	0
Dmitri Mendeleev	9	6	0
Domingo Giribaldo	4	4	0
Donald D van Slyke	2	2	0
Donald James Cram	2	1	0
Dorothy Crowfoot Hodgkin	24	17	1
Dorothy M Wrinch	2	2	0
E F Terroine	1	1	0
E H Taylor	1	1	0
E J Hart	1	1	0
E Ochiai	1	1	0
E Stahl	1	1	0
E Stenhagen	1	1	0
Edgar Bright Wilson Jr	1	1	0
Edgar Bright Wilson Jr.	1	1	0
Edmund L Hirst	1	1	0
Edmund von Lippmann	1	1	0
Edouard Branly	1	1	0
Eduard Buchner	3	3	1
Edward C Dodds	1	1	0
Edward C Franklin	2	1	0
Edward C Kendall	1	1	0
Edward Joseph Conway	2	1	0
Edward Lawrie Tatum	4	4	0
Edward Teller	1	1	0
Edward W Morley	3	3	0
Edward W Washburn	1	1	0
Edwin J Cohn	1	1	0
Edwin Mattison McMillan	4	4	1
Edwin Theodore Mertz	1	1	0
Efraim Racker	1	1	0
Egon Wiberg	2	2	0
Emanuele Paterno	1	1	0
Emil Abderhalden	2	2	0
Emil H Fischer	11	9	1
Emil Votocek	3	3	0
Emile Bourquelot	1	1	0
Emilio Noelting	1	1	0
Emilio Segrè	9	5	0
Enrico Fermi	3	3	0
Ephraim Katchalski	13	7	0
Erich Hückel	21	13	0
Erich Müller	1	1	0
Erik Hägglund	2	2	0
Erika Cremer	1	1	0
Ernest F Fourneau	3	3	0
Ernest F Gale	1	1	0
Ernest Lord Rutherford	4	3	1
Ernst Cohen	1	1	0
Ernst Klenk	1	1	0
Ernst Otto Fischer	9	7	0
Ernst Schmidt	1	1	0
Ernst Späth	1	1	0
Erwin Chargaff	2	1	0
Erwin Wilhelm Müller	2	2	0
Esmond Emerson Snell	3	3	0
Eugen Herzfeld	1	1	0
Eugene George Rochow	1	1	0
Eugene I Rabinowitch	1	1	0
