_id,first_nomin_y,last_nomin_y,range_y,n_nominations,nominator_NP,nominator_id,nominator_name,nominee_NP,nominee_id,nominee_name,nominee_NP_C
633db536c1ae1691ad071a7d,1901,1901,0,1,,5703,Georg Lunge,C in 1901|,9563,Jacobus H van´t Hoff,1
633db536c1ae1691ad071a7e,1901,1901,0,1,,1845,Per T Cleve,C in 1901|,9563,Jacobus H van´t Hoff,1
633db536c1ae1691ad071a7f,1901,1901,0,1,,5199,Hans Landolt,C in 1901|,9563,Jacobus H van´t Hoff,1
633db536c1ae1691ad071a80,1901,1901,0,1,,9336,Frederick Treadwell,C in 1901|,9563,Jacobus H van´t Hoff,1
633db536c1ae1691ad071a81,1901,1901,0,1,C in 1902|,3022,Emil H Fischer,C in 1901|,9563,Jacobus H van´t Hoff,1
633db536c1ae1691ad071a82,1901,1901,0,1,C in 1904|,7552,Sir William Ramsay,C in 1901|,9563,Jacobus H van´t Hoff,1
633db536c1ae1691ad071a83,1901,1901,0,1,,7185,Otto Pettersson,C in 1901|,9563,Jacobus H van´t Hoff,1
633db536c1ae1691ad071a84,1901,1901,0,1,,3490,Robert Gnehm,C in 1901|,9563,Jacobus H van´t Hoff,1
633db536c1ae1691ad071a85,1901,1901,0,1,,672,Eugen Bamberger,C in 1901|,9563,Jacobus H van´t Hoff,1
633db536c1ae1691ad071a86,1901,1901,0,1,,5639,Richard Lorenz,C in 1901|,9563,Jacobus H van´t Hoff,1
633db536c1ae1691ad071a87,1901,1901,0,1,,14107, Member of the Nobel Committee for chemistry,C in 1901|,9563,Jacobus H van´t Hoff,1
633db538c1ae1691ad071e4b,1901,1901,0,1,C in 1905|,9713,Adolf J von Baeyer,C in 1902|,3022,Emil H Fischer,1
633db538c1ae1691ad071e4c,1901,1901,0,1,,6631,John U Nef,C in 1902|,3022,Emil H Fischer,1
633db538c1ae1691ad071e4d,1902,1902,0,1,,1314,Georg Bredig,C in 1902|,3022,Emil H Fischer,1
633db538c1ae1691ad071e4e,1902,1902,0,1,,1845,Per T Cleve,C in 1902|,3022,Emil H Fischer,1
633db538c1ae1691ad071e50,1919,1919,0,1,,10170,Wilhelm Wien,C in 1902|,3022,Emil H Fischer,1
633db538c1ae1691ad071e51,1902,1902,0,1,,6577,Karl Mörner,C in 1902|,3022,Emil H Fischer,1
633db538c1ae1691ad071e52,1916,1916,0,1,C in 1915|,10210,Richard M Willstätter,C in 1902|,3022,Emil H Fischer,1
