Nobelist	birth	death	NP	Active years as nominator
Theodor Svedberg	1884	1971	1926	45
Svante A Arrhenius	1859	1927	1903	24
Derek Harold Richard Barton	1918	1998	1969	29
Sir William Ramsay	1852	1916	1904	12
Karl W Ziegler	1898	1973	1963	10
Giulio Natta	1903	1979	1963	16
Hermann Staudinger	1881	1965	1953	12
Adolf J von Baeyer	1835	1917	1905	12
Eduard Buchner	1860	1917	1907	10
Wilhelm Ostwald	1853	1932	1909	23
Robert Robinson	1886	1975	1947	28
Melvin Calvin	1911	1997	1961	36
Archer John Porter Martin	1910	2002	1952	50
Ernest Lord Rutherford	1871	1937	1908	29
Victor Grignard	1871	1935	1912	23
Sir Alexander Robertus Todd	1907	1997	1957	40
Harold Clayton Urey	1893	1981	1934	47
Frederick Sanger	1918	2013	1958	55
Vincent du Vigneaud	1901	1978	1955	23
Jacobus H van´t Hoff	1852	1911	1901	10
Robert Burns Woodward	1917	1979	1965	14
Stanford Moore	1913	1982	1972	10
Richard M Willstätter	1872	1942	1915	27
James B Sumner	1887	1955	1946	9
John H Northrop	1891	1987	1946	41
Wendell M Stanley	1904	1971	1946	25
Linus C Pauling	1901	1994	1954	40
Henri Moissan	1852	1907	1906	1
Hans Fischer	1881	1945	1930	15
Heinrich O Wieland	1877	1957	1927	30
Paul J Flory	1910	1985	1974	11
Otto Wallach	1847	1931	1910	21
Walther H Nernst	1864	1941	1920	21
Lars Onsager	1903	1976	1968	8
Otto P Diels	1876	1954	1950	4
Carl Bosch	1874	1940	1931	9
Manfred Eigen	1927	2019	1967	52
Richard A Zsigmondy	1865	1929	1925	4
Theodore W Richards	1868	1928	1914	14
Glenn Theodore Seaborg	1912	1999	1951	48
Willard Frank Libby	1908	1980	1960	20
Sir Walter Norman Haworth	1883	1950	1937	13
Leopold Ruzicka	1887	1976	1939	37
Fritz Haber	1868	1934	1918	16
Robert Sanderson Mulliken	1896	1986	1966	20
Alfred Werner	1866	1919	1913	6
Emil H Fischer	1852	1919	1902	17
Luis Federico Leloir	1906	1987	1970	17
George de Hevesy	1885	1966	1943	23
Frédéric Joliot	1900	1958	1935	23
Adolf O Windaus	1876	1959	1928	31
Hans K von Euler-Chelpin	1873	1964	1929	35
Adolf F Butenandt	1903	1995	1939	56
Ronald George Wreyford Norrish	1897	1978	1967	11
Paul Karrer	1889	1971	1937	34
Otto Hahn	1879	1968	1944	24
Odd Hassel	1897	1981	1969	12
Jaroslav Heyrovský	1890	1967	1959	8
Dorothy Crowfoot Hodgkin	1910	1994	1964	30
Richard L M Synge	1914	1994	1952	42
Fritz Pregl	1869	1930	1923	7
William F Giauque	1895	1982	1949	33
Paul Sabatier	1854	1941	1912	29
Artturi I Virtanen	1895	1973	1945	28
Arne W Tiselius	1902	1971	1948	23
Frederick Soddy	1877	1956	1921	35
Donald James Cram	1919	2001	1987	14
Petrus J Debye	1884	1966	1936	30
Richard Kuhn	1900	1967	1938	29
Nikolay Nikolaevich Semenov	1896	1986	1956	30
Sir Cyril Norman Hinshelwood	1897	1967	1956	11
Max Ferdinand Perutz	1914	2002	1962	40
Arthur Harden	1865	1940	1929	11
Edwin Mattison McMillan	1907	1991	1951	40
John C Kendrew	1917	1997	1962	35
Irving Langmuir	1881	1957	1932	25
William Howard Stein	1911	1980	1972	8
George Porter	1920	2002	1967	35
Francis W Aston	1877	1945	1922	23
Irène Joliot-Curie	1897	1956	1935	21
Kurt Alder	1902	1958	1950	8
Friedrich Bergius	1884	1949	1931	18
Marie Curie	1867	1934	1911	23
Jerome L Karle	1918	2013	1985	28
			average	23.7738095238095
			Error	1.42897955061458
