,statistic,p.value,P<0.05
Kurt.Alder,c(W = 0.496094403311629),0.0000207292443849816,1
Paul.J.Flory,c(W = 0.570340094079553),0.0000429124244264722,1
Otto.Hahn,c(W = 0.630340998791231),0.0000490365144299806,1
Artturi.I.Virtanen,c(W = 0.604398650570557),0.000116744675219373,1
Ronald.George.Wreyford.Norrish,c(W = 0.552181683086903),0.00013097817585188,1
Fritz.Haber,c(W = 0.552181683086904),0.000130978175851881,1
Adolf.F.Butenandt,c(W = 0.552181683086904),0.000130978175851881,1
Lars.Onsager,c(W = 0.668978956297251),0.000187576267485109,1
Jaroslav.Heyrovský,c(W = 0.682008353359555),0.000242075692569213,1
Richard.A.Zsigmondy,c(W = 0.600399029958665),0.000275178702277503,1
Theodor.Svedberg,c(W = 0.611729869844172),0.000373476487593022,1
Petrus.J.Debye,c(W = 0.654736057948796),0.000419390883206896,1
Wendell.M.Stanley,c(W = 0.641202000301873),0.000479056596187661,1
Heinrich.O.Wieland,c(W = 0.629776264913708),0.00124072593197728,1
Paul.Sabatier,c(W = 0.629776264913708),0.00124072593197728,1
Richard.Kuhn,c(W = 0.629776264913708),0.00124072593197728,1
Robert.Sanderson.Mulliken,c(W = 0.718880104532345),0.00367610424089326,1
Derek.Harold.Richard.Barton,c(W = 0.754723646331044),0.00407416629500961,1
Sir.Cyril.Norman.Hinshelwood,c(W = 0.723804642631036),0.00417439943921768,1
George.de.Hevesy,c(W = 0.781505260936172),0.00581731775610361,1
Frederick.Sanger,c(W = 0.720555269317723),0.00618788052463059,1
John.H.Northrop,c(W = 0.726067914376621),0.00708846576455495,1
Vincent.du.Vigneaud,c(W = 0.777788824612608),0.00778088121529783,1
Hermann.Staudinger,c(W = 0.820727283434423),0.00911115703029597,1
Linus.C.Pauling,c(W = 0.802753848150713),0.010071002518228,1
Sir.Alexander.Robertus.Todd,c(W = 0.771037620560993),0.0139123626322162,1
Robert.Burns.Woodward,c(W = 0.86213990282989),0.0206597566813999,1
Leopold.Ruzicka,c(W = 0.753007117107685),0.0213136668634499,1
Adolf.J.von.Baeyer,c(W = 0.725287357222895),0.0220322583554389,1
Victor.Grignard,c(W = 0.728634148173617),0.0238567944022221,1
James.B.Sumner,c(W = 0.728634148173617),0.0238567944022221,1
Max.Ferdinand.Perutz,c(W = 0.741629097190847),0.0248520407981876,1
Theodore.W.Richards,c(W = 0.810737374994173),0.0270624327241294,1
Carl.Bosch,c(W = 0.764373526142294),0.0274404809169466,1
Henri.Moissan,c(W = 0.786131017755675),0.0439368161503436,1
Odd.Hassel,c(W = 0.806232416642498),0.0471861166720602,1
Luis.Federico.Leloir,c(W = 0.85344689359788),0.0473291978895415,1
Karl.W.Ziegler,c(W = 0.840075563631887),0.0578663258574493,FALSE
Dorothy.Crowfoot.Hodgkin,c(W = 0.841742462323929),0.0603882075053748,FALSE
Giulio.Natta,c(W = 0.83767287619624),0.0712820734123954,FALSE
Hans.K.von.Euler.Chelpin,c(W = 0.82161556233422),0.0911350219399279,FALSE
William.F.Giauque,c(W = 0.822720477629698),0.0931546027659201,FALSE
Sir.Walter.Norman.Haworth,c(W = 0.840043785334334),0.0994514482813237,FALSE
Robert.Robinson,c(W = 0.906436977050461),0.139878463108206,FALSE
Irving.Langmuir,c(W = 0.832744465928713),0.14584370144188,FALSE
Wilhelm.Ostwald,c(W = 0.846619261210043),0.147763872319076,FALSE
Paul.Karrer,c(W = 0.866261547842075),0.211705478836296,FALSE
Glenn.Theodore.Seaborg,c(W = 0.861521894387248),0.233764212405471,FALSE
Manfred.Eigen,c(W = 0.889778231089934),0.273508758832139,FALSE
Otto.P.Diels,c(W = 0.921574427033093),0.3319721593289,FALSE
Richard.M.Willstätter,c(W = 0.90034946382231),0.333102625451887,FALSE
Willard.Frank.Libby,c(W = 0.918232454348135),0.415685994291279,FALSE
Alfred.Werner,c(W = 0.914078140811337),0.492481038488407,FALSE
Melvin.Calvin,c(W = 0.933413740538873),0.606710438633714,FALSE
Walther.H.Nernst,c(W = 0.955929362072173),0.690124708560396,FALSE
