,statistic,p.value,P<0.05
Choh Hao Li,c(W = 0.389841297787206),0.0000003217492855414,1
Amé Pictet,c(W = 0.389841297787206),0.0000003217492855414,1
Arthur Stoll,c(W = 0.485720308846718),0.00000102085708995662,1
Lyman C Craig,c(W = 0.50384674182482),0.00000168732269507923,1
Charles Dufraisse,c(W = 0.45297098814988),0.00000413561209143951,1
Gerold Karl Schwarzenbach,c(W = 0.45297098814988),0.00000413561209143951,1
Gabriel Bertrand,c(W = 0.613630707741521),0.0000092652572163779,1
Otto Ruff,c(W = 0.531398190692674),0.0000149625188046866,1
William C Rose,c(W = 0.496094403311629),0.0000207292443849816,1
Alexander E Arbuzov,c(W = 0.496094403311629),0.0000207292443849816,1
"John Warcup Cornforth, Jr",c(W = 0.496094403311629),0.0000207292443849816,1
Rudolf Criegee,c(W = 0.496094403311629),0.0000207292443849816,1
Lise Meitner,c(W = 0.615977611041496),0.0000565025654667186,1
Gerhard Schramm,c(W = 0.565940661163839),0.0000632298002079726,1
Georges Urbain,c(W = 0.744558908920985),0.0000764033085383977,1
San-ichiro Mizushima,c(W = 0.552181683086903),0.00013097817585188,1
Walter Hieber,c(W = 0.552181683086904),0.000130978175851881,1
Karl A Folkers,c(W = 0.552181683086904),0.000130978175851881,1
David Keilin,c(W = 0.552181683086904),0.000130978175851881,1
Alan Walsh,c(W = 0.552181683086904),0.000130978175851881,1
Henry Le Châtelier,c(W = 0.690630601554337),0.000133299636196377,1
Jean B Perrin,c(W = 0.601283045996049),0.000164594899007004,1
Victor M Goldschmidt,c(W = 0.601283045996049),0.000164594899007004,1
Paul Walden,c(W = 0.600399029958666),0.000275178702277505,1
Walter Heinrich Heitler,c(W = 0.600399029958666),0.000275178702277505,1
Harry George Drickamer,c(W = 0.600399029958666),0.000275178702277505,1
Sir Christopher Kelk Ingold,c(W = 0.792234391753719),0.000288557712996799,1
Albin Haller,c(W = 0.661522191916494),0.000302018418897715,1
Karl Johann Freudenberg,c(W = 0.693087613359638),0.00038128105846393,1
Gilbert N Lewis,c(W = 0.744131259452991),0.000382820080658778,1
Werner Kuhn,c(W = 0.697644494625499),0.00043626108098739,1
Giacomo Ciamician,c(W = 0.658856234971763),0.000468676264397785,1
Martin David Kamen,c(W = 0.633565333214282),0.000668205486177337,1
Moses Gomberg,c(W = 0.667819950320852),0.000969297572166655,1
Henry Eyring,c(W = 0.714960846933416),0.00117873870165613,1
Angelo Angeli,c(W = 0.67560389491789),0.00118969106257356,1
Michael Polanyi,c(W = 0.629776264913708),0.00124072593197728,1
Carl Engler,c(W = 0.629776264913708),0.00124072593197728,1
Frédéric Swarts,c(W = 0.629776264913708),0.00124072593197728,1
Carl Harries,c(W = 0.629776264913708),0.00124072593197728,1
Geoffrey Wilkinson,c(W = 0.629776264913708),0.00124072593197728,1
Konrad Bloch,c(W = 0.629776264913708),0.00124072593197728,1
Roger Adams,c(W = 0.639893704823098),0.00135075284870458,1
George Joseph Popjàk,c(W = 0.639893704823098),0.00135075284870459,1
Fritz Feigl,c(W = 0.664435628992018),0.0014974413079382,1
Carl Wilhelm Wagner,c(W = 0.664435628992018),0.0014974413079382,1
Gustav Tammann,c(W = 0.790084551858094),0.00201728736899912,1
Vladimir N Ipatieff,c(W = 0.665788341390047),0.00264135352956016,1
Hans Lebrecht Meerwein,c(W = 0.777775325619266),0.00268537891334097,1
Theodor Curtius,c(W = 0.779504878507077),0.00393128632296689,1
Johan Arvid Hedvall,c(W = 0.772819067965665),0.00413310903067602,1
Gerhard Herzberg,c(W = 0.724167692649727),0.00421365709523286,1
Louis Plack Hammett,c(W = 0.724706203877243),0.00427255690810685,1
William H Perkin Jr,c(W = 0.748482588339738),0.00520636250304718,1
Max Volmer,c(W = 0.701259348253108),0.00637328539014451,1
Emilio Segrè,c(W = 0.701259348253108),0.00637328539014451,1
Jacques Tréfouël,c(W = 0.684028895504471),0.00647000075166546,1
Walter Noddack,c(W = 0.684028895504471),0.00647000075166546,1
Carl Auer von Welsbach,c(W = 0.684028895504471),0.00647000075166554,1
Marcellin Berthelot,c(W = 0.720716497411539),0.0101440105951573,1
