nominee_id,nominee_name,nominator_id,nominator_name,year,type
7136,"Jean B Perrin",511,"Svante A Arrhenius",1924,C
7136,"Jean B Perrin",511,"Svante A Arrhenius",1920,C
7136,"Jean B Perrin",5739,"Einar Lönnberg",1919,C
7136,"Jean B Perrin",6950,"Paul Painlevé",1926,C
7136,"Jean B Perrin",6950,"Paul Painlevé",1925,C
7136,"Jean B Perrin",6650,"Walther H Nernst",1926,C
7136,"Jean B Perrin",6650,"Walther H Nernst",1923,C
7136,"Jean B Perrin",9458,"Georges Urbain",1915,C
7136,"Jean B Perrin",9458,"Georges Urbain",1922,C
7136,"Jean B Perrin",3828,"Axel Hamberg",1919,C
7136,"Jean B Perrin",465,"Paul Appell",1926,C
8915,"Theodor Svedberg",511,"Svante A Arrhenius",1924,C
8915,"Theodor Svedberg",511,"Svante A Arrhenius",1920,C
8915,"Theodor Svedberg",8966,"Henrik Söderbaum",1919,C
8915,"Theodor Svedberg",5739,"Einar Lönnberg",1919,C
8915,"Theodor Svedberg",6650,"Walther H Nernst",1926,C
8915,"Theodor Svedberg",6650,"Walther H Nernst",1923,C
8915,"Theodor Svedberg",14110,"Adriaan H.W Aten",1924,C
8915,"Theodor Svedberg",7295,"Ivan Plotnikov",1916,C
8915,"Theodor Svedberg",3828,"Axel Hamberg",1919,C
8915,"Theodor Svedberg",6960,"Wilhelm Palmaer",1919,C
8915,"Theodor Svedberg",3834,"Hartog J Hamburger",1918,C
511,"Svante A Arrhenius",7871,"Johan O Rosenberg",1903,C
511,"Svante A Arrhenius",7871,"Johan O Rosenberg",1902,C
511,"Svante A Arrhenius",7871,"Johan O Rosenberg",1901,C
511,"Svante A Arrhenius",3517,"Heinrich Goldschmidt",1902,C
511,"Svante A Arrhenius",3517,"Heinrich Goldschmidt",1903,C
511,"Svante A Arrhenius",1845,"Per T Cleve",1901,C
511,"Svante A Arrhenius",1845,"Per T Cleve",1903,C
511,"Svante A Arrhenius",9690,"Johan Vogt",1902,C
511,"Svante A Arrhenius",9690,"Johan Vogt",1903,C
511,"Svante A Arrhenius",14107," Member of the Nobel Committee for chemistry",1903,C
511,"Svante A Arrhenius",4195,"Thorstein Hiortdahl",1903,C
511,"Svante A Arrhenius",4195,"Thorstein Hiortdahl",1902,C
511,"Svante A Arrhenius",9873,"Karl von Than",1903,C
511,"Svante A Arrhenius",1416,"Waldemar Brögger",1903,C
511,"Svante A Arrhenius",1416,"Waldemar Brögger",1902,C
511,"Svante A Arrhenius",7185,"Otto Pettersson",1901,C
511,"Svante A Arrhenius",918,"Carl E Bergstrand",1903,C
511,"Svante A Arrhenius",3022,"Emil H Fischer",1903,C
511,"Svante A Arrhenius",9563,"Jacobus H van´t Hoff",1903,C
511,"Svante A Arrhenius",9778,"Friedrich von Hefner-Alteneck",1903,C
10669,"Derek Harold Richard Barton",15521,"R A Nicolaus",1969,C
10669,"Derek Harold Richard Barton",14669,"J Levisalles",1968,C
10669,"Derek Harold Richard Barton",15516,"Eric Mitchell Crook",1969,C
10669,"Derek Harold Richard Barton",7994,"Leopold Ruzicka",1968,C
10669,"Derek Harold Richard Barton",7994,"Leopold Ruzicka",1966,C
10669,"Derek Harold Richard Barton",7994,"Leopold Ruzicka",1964,C
10669,"Derek Harold Richard Barton",7994,"Leopold Ruzicka",1967,C
10669,"Derek Harold Richard Barton",7994,"Leopold Ruzicka",1965,C
10669,"Derek Harold Richard Barton",7994,"Leopold Ruzicka",1969,C
10669,"Derek Harold Richard Barton",10302,"Robert Burns Woodward",1969,C
10669,"Derek Harold Richard Barton",10820,"Tadeusz Urbański",1967,C
10669,"Derek Harold Richard Barton",15517,"Gábor Béla Fodor",1969,C
10669,"Derek Harold Richard Barton",15578,"Duilio Arigoni",1969,C
10669,"Derek Harold Richard Barton",13382,"Guy Henry Ourisson",1964,C
10669,"Derek Harold Richard Barton",13382,"Guy Henry Ourisson",1967,C
10669,"Derek Harold Richard Barton",13390,"R Lombard",1967,C
10669,"Derek Harold Richard Barton",15579,"J Mousseron",1969,C
10669,"Derek Harold Richard Barton",10979,"Arthur Kornberg",1967,C
10669,"Derek Harold Richard Barton",10979,"Arthur Kornberg",1965,C
10669,"Derek Harold Richard Barton",10979,"Arthur Kornberg",1969,C
10669,"Derek Harold Richard Barton",10979,"Arthur Kornberg",1966,C
10669,"Derek Harold Richard Barton",13908,"Venancio Deulofeu",1967,C
10669,"Derek Harold Richard Barton",13908,"Venancio Deulofeu",1969,C
10669,"Derek Harold Richard Barton",13908,"Venancio Deulofeu",1966,C
10669,"Derek Harold Richard Barton",13908,"Venancio Deulofeu",1968,C
10669,"Derek Harold Richard Barton",11057,"E Lederer",1962,C
10669,"Derek Harold Richard Barton",11057,"E Lederer",1960,C
10669,"Derek Harold Richard Barton",14592,"Ralph Alexander Raphael",1967,C
10669,"Derek Harold Richard Barton",9289,"Sir Alexander Robertus Todd",1968,C
10669,"Derek Harold Richard Barton",9289,"Sir Alexander Robertus Todd",1967,C
10669,"Derek Harold Richard Barton",9289,"Sir Alexander Robertus Todd",1969,C
10669,"Derek Harold Richard Barton",11116,"A Horeau",1961,C
10669,"Derek Harold Richard Barton",14590,"Leslie Crombie",1967,C
10669,"Derek Harold Richard Barton",4324,"Bernardo Alberto Houssay",1969,C
10669,"Derek Harold Richard Barton",10487,"Alexander E Braunstein",1969,C
10669,"Derek Harold Richard Barton",15520,"James P Kutney",1969,C
10669,"Derek Harold Richard Barton",10661,"A F Damanski",1962,C
10669,"Derek Harold Richard Barton",13982,"David Ginsburg",1968,C
10669,"Derek Harold Richard Barton",13982,"David Ginsburg",1967,C
10669,"Derek Harold Richard Barton",14591,"E Jones",1967,C
10669,"Derek Harold Richard Barton",3955,"Egbert Havinga",1968,C
10669,"Derek Harold Richard Barton",11130,"E J Bourne",1963,C
10669,"Derek Harold Richard Barton",13986,"Tuticorin Raghavachari Govindachari",1969,C
10669,"Derek Harold Richard Barton",15519,"William Klyne",1969,C
10669,"Derek Harold Richard Barton",13055,"Eugene Earle van Tamelen",1969,C
10669,"Derek Harold Richard Barton",15597,"A B Foster",1969,C
10669,"Derek Harold Richard Barton",14593,"J Strating",1967,C
10669,"Derek Harold Richard Barton",11120,"Peter Yates",1966,C
10669,"Derek Harold Richard Barton",10807,"Max Mousseron",1964,C
10669,"Derek Harold Richard Barton",15596,"Edgar Heilbronner",1969,C
10669,"Derek Harold Richard Barton",14002,"Albert Eschenmoser",1969,C
10669,"Derek Harold Richard Barton",14162,"G Tsatsas",1966,C
10669,"Derek Harold Richard Barton",15518,"Leslie Hough",1969,C
10669,"Derek Harold Richard Barton",14295,"K Biermann",1966,C
7552,"Sir William Ramsay",14107," Member of the Nobel Committee for chemistry",1904,C
7552,"Sir William Ramsay",9690,"Johan Vogt",1904,C
7552,"Sir William Ramsay",9713,"Adolf J von Baeyer",1902,C
7552,"Sir William Ramsay",9713,"Adolf J von Baeyer",1903,C
7552,"Sir William Ramsay",9713,"Adolf J von Baeyer",1904,C
7552,"Sir William Ramsay",1416,"Waldemar Brögger",1904,C
7552,"Sir William Ramsay",3082,"Fritz Foerster",1903,C
7552,"Sir William Ramsay",7871,"Johan O Rosenberg",1904,C
7552,"Sir William Ramsay",5670,"John Lubbock",1904,C
7552,"Sir William Ramsay",5554,"Adriaan Lobry de Bruyn",1904,C
7552,"Sir William Ramsay",4195,"Thorstein Hiortdahl",1904,C
7552,"Sir William Ramsay",1845,"Per T Cleve",1904,C
7552,"Sir William Ramsay",9778,"Friedrich von Hefner-Alteneck",1902,C
7552,"Sir William Ramsay",3517,"Heinrich Goldschmidt",1904,C
7552,"Sir William Ramsay",9563,"Jacobus H van´t Hoff",1902,C
7552,"Sir William Ramsay",9563,"Jacobus H van´t Hoff",1904,C
7552,"Sir William Ramsay",7249,"Oskar Piloty",1904,C
7552,"Sir William Ramsay",3022,"Emil H Fischer",1904,C
7552,"Sir William Ramsay",1040,"Carl A Bischoff",1904,C
